Transitions:
Start: (0, 0)
Move 12: (6, 14) -> (8, 15)
Move 12: (7, 13) -> (9, 14)
Move 12: (8, 12) -> (10, 13)
Move 12: (9, 11) -> (11, 12)
Move 12: (10, 10) -> (12, 11)
Move 10: (11, 9) -> (13, 10)
Move 10: (12, 8) -> (14, 9)
Move 12: (5, 15) -> (6, 17)
Move 10: (13, 7) -> (15, 8)
Move 10: (4, 16) -> (5, 18)
Move 10: (14, 6) -> (16, 7)
Move 12: (3, 17) -> (4, 19)
Move 10: (15, 5) -> (17, 6)
Move 12: (2, 18) -> (3, 20)
Move 10: (16, 4) -> (18, 5)
Move 14: (1, 19) -> (0, 21)
Move 14: (1, 19) -> (2, 21)
Move 12: (0, 20) -> (1, 22)
Move 12: (17, 1) -> (19, 2)
Move 12: (17, 1) -> (19, 0)
Move 12: (17, 3) -> (19, 4)
Move 12: (18, 0) -> (20, 1)
Move 12: (18, 2) -> (20, 3)
Move 11: (18, 1) -> (20, 2)
Move 11: (18, 1) -> (20, 0)
Move 11: (18, 3) -> (20, 4)
Move 13: (19, 0) -> (21, 1)
Move 13: (19, 2) -> (21, 3)
Move 12: (19, 1) -> (21, 2)
Move 12: (19, 1) -> (21, 0)
Move 12: (20, 0) -> (22, 1)
Move 10: (7, 15) -> (8, 17)
Move 10: (7, 15) -> (9, 16)
Move 10: (8, 14) -> (10, 15)
Move 10: (9, 13) -> (11, 14)
Move 10: (10, 12) -> (12, 13)
Move 10: (11, 11) -> (13, 12)
Move 10: (12, 10) -> (14, 11)
Move 12: (13, 9) -> (15, 10)
Move 10: (14, 8) -> (16, 9)
Move 10: (15, 7) -> (17, 8)
Move 10: (6, 16) -> (7, 18)
Move 10: (16, 6) -> (18, 7)
Move 12: (5, 17) -> (6, 19)
Move 12: (17, 5) -> (19, 6)
Move 12: (4, 18) -> (5, 20)
Move 12: (18, 4) -> (20, 5)
Move 14: (3, 19) -> (4, 21)
Move 12: (19, 3) -> (21, 4)
Move 12: (2, 20) -> (3, 22)
Move 12: (20, 2) -> (22, 3)
Move 10: (9, 15) -> (10, 17)
Move 10: (9, 15) -> (11, 16)
Move 10: (10, 14) -> (12, 15)
Move 10: (11, 13) -> (13, 14)
Move 10: (12, 12) -> (14, 13)
Move 10: (13, 11) -> (15, 12)
Move 10: (14, 10) -> (16, 11)
Move 10: (15, 9) -> (17, 10)
Move 10: (8, 16) -> (9, 18)
Move 10: (16, 8) -> (18, 9)
Move 12: (7, 17) -> (8, 19)
Move 12: (17, 7) -> (19, 8)
Move 12: (6, 18) -> (7, 20)
Move 12: (18, 6) -> (20, 7)
Move 14: (5, 19) -> (6, 21)
Move 12: (19, 5) -> (21, 6)
Move 12: (4, 20) -> (5, 22)
Move 12: (20, 4) -> (22, 5)
Move 13: (1, 20) -> (0, 22)
Move 13: (1, 20) -> (2, 22)
Move 15: (0, 21) -> (1, 23)
Move 14: (1, 21) -> (0, 23)
Move 14: (1, 21) -> (2, 23)
Move 14: (3, 21) -> (4, 23)
Move 14: (0, 22) -> (1, 24)
Move 14: (2, 22) -> (3, 24)
Move 13: (7, 16) -> (8, 18)
Move 13: (7, 16) -> (9, 17)
Move 13: (8, 15) -> (10, 16)
Move 13: (9, 14) -> (11, 15)
Move 13: (10, 13) -> (12, 14)
Move 13: (11, 12) -> (13, 13)
Move 13: (12, 11) -> (14, 12)
Move 11: (13, 10) -> (15, 11)
Move 11: (14, 9) -> (16, 10)
Move 13: (6, 17) -> (7, 19)
Move 11: (15, 8) -> (17, 9)
Move 11: (5, 18) -> (6, 20)
Move 11: (16, 7) -> (18, 8)
Move 13: (4, 19) -> (5, 21)
Move 11: (17, 6) -> (19, 7)
Move 13: (3, 20) -> (4, 22)
Move 11: (18, 5) -> (20, 6)
Move 15: (2, 21) -> (3, 23)
Move 13: (19, 4) -> (21, 5)
Move 13: (1, 22) -> (0, 24)
Move 13: (1, 22) -> (2, 24)
Move 15: (0, 23) -> (1, 25)
Move 13: (20, 1) -> (22, 2)
Move 13: (20, 1) -> (22, 0)
Move 13: (20, 3) -> (22, 4)
Move 13: (21, 0) -> (23, 1)
Move 13: (21, 2) -> (23, 3)
Move 14: (21, 1) -> (23, 2)
Move 14: (21, 1) -> (23, 0)
Move 14: (21, 3) -> (23, 4)
Move 14: (22, 0) -> (24, 1)
Move 14: (22, 2) -> (24, 3)
Move 13: (22, 1) -> (24, 2)
Move 13: (22, 1) -> (24, 0)
Move 15: (23, 0) -> (25, 1)
Move 11: (8, 17) -> (9, 19)
Move 11: (8, 17) -> (10, 18)
Move 11: (9, 16) -> (11, 17)
Move 11: (10, 15) -> (12, 16)
Move 11: (11, 14) -> (13, 15)
Move 11: (12, 13) -> (14, 14)
Move 11: (13, 12) -> (15, 13)
Move 11: (14, 11) -> (16, 12)
Move 13: (15, 10) -> (17, 11)
Move 11: (16, 9) -> (18, 10)
Move 11: (17, 8) -> (19, 9)
Move 11: (7, 18) -> (8, 20)
Move 11: (18, 7) -> (20, 8)
Move 13: (6, 19) -> (7, 21)
